state,date,positive,negative,total,recovered,death,totalTestResults,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,StateClosureStartDate,closed,Region,POPESTIMATE2019,ClosureDateCat
NC,2020-04-30,10509,117527,128036,NA,378,128036,North Carolina,Democrat,Republican,Republican,Democrat,Republican,2020-03-16,TRUE,South,10488084,Early
ND,2020-04-30,1067,26393,27460,458,19,27460,North Dakota,Republican,Republican,Republican,Republican,Republican,2020-03-16,TRUE,North Central,762062,Early
NE,2020-04-30,3784,21537,25321,NA,68,25321,Nebraska,Republican,N/A,N/A,Republican,Appointed,2020-03-23,TRUE,North Central,1934408,Late
NH,2020-04-30,2054,19867,22193,980,66,21921,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,2020-03-16,TRUE,Northeast,1359711,Early
NJ,2020-04-30,118652,129266,248396,15642,7228,247918,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,2020-03-18,TRUE,Northeast,8882190,Middle
NM,2020-04-30,3213,61872,65085,734,112,65085,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,2096829,Early
NV,2020-04-30,4998,36988,41986,158,237,41986,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,3080156,Early
NY,2020-04-30,304372,596264,900636,54771,18321,900636,New York,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-18,TRUE,Northeast,19453561,Middle
OH,2020-04-30,18027,115863,133890,NA,975,133890,Ohio,Republican,Republican,Republican,Republican,Appointed,2020-03-17,TRUE,North Central,11689100,Middle
OK,2020-04-30,3618,59804,63422,2401,222,63422,Oklahoma,Republican,Republican,Republican,Republican,Republican,2020-03-17,TRUE,South,3956971,Middle
OR,2020-04-30,2510,53522,56032,NA,103,56032,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,West,4217737,Early
PA,2020-04-30,45763,175602,221365,NA,2292,221365,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,Northeast,12801989,Early
RI,2020-04-30,8621,55089,63710,461,266,63710,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-23,TRUE,Northeast,1059361,Late
SC,2020-04-30,6095,50417,56512,3252,244,56512,South Carolina,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,5148714,Middle
SD,2020-04-30,2449,14579,17028,1573,17,17028,South Dakota,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,North Central,884659,Middle
TN,2020-04-30,10366,158183,168549,5140,195,168549,Tennessee,Republican,Republican,Republican,Appointed,Appointed,2020-03-20,TRUE,South,6829174,Late
TX,2020-04-30,28087,302213,330300,13353,782,330300,Texas,Republican,Republican,Republican,Republican,Appointed,2020-03-23,TRUE,South,28995881,Late
UT,2020-04-30,4672,103829,108501,1939,46,108501,Utah,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,West,3205958,Middle
VA,2020-04-30,15846,75663,92092,2104,552,91509,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,South,8535519,Middle
VT,2020-04-30,866,14786,15652,NA,49,15652,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-18,TRUE,Northeast,623989,Late
WA,2020-04-30,14070,173730,187800,NA,801,187800,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-17,TRUE,West,7614893,Middle
WI,2020-04-30,6854,69394,76443,3352,316,76248,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,2020-03-18,TRUE,North Central,5822434,Late
WV,2020-04-30,1118,43423,44541,545,41,44541,West Virginia,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,1792147,Middle
WY,2020-04-30,544,8902,9446,371,7,9446,Wyoming,Republican,Republican,Republican,Appointed,Appointed,2020-03-20,TRUE,West,578759,Late
AK,2020-04-29,355,18764,19119,240,9,19119,Alaska,Republican,Republican,Republican,Appointed,Appointed,2020-03-16,TRUE,West,731545,Early
AL,2020-04-29,6842,73607,80449,NA,245,80449,Alabama,Republican,Republican,Republican,Republican,Appointed,2020-03-19,TRUE,South,4903185,Late
AR,2020-04-29,3192,42257,45449,1249,59,45449,Arkansas,Republican,Republican,Republican,Republican,Appointed,2020-03-17,TRUE,South,3017804,Middle
AZ,2020-04-29,7202,61611,68813,1475,304,68813,Arizona,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,West,7278717,Early
CA,2020-04-29,46500,556639,603139,NA,1887,603139,California,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-19,TRUE,West,39512223,Late
CO,2020-04-29,14735,54714,69449,2275,760,69449,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-23,TRUE,West,5758736,Late
CT,2020-04-29,26767,68051,94818,NA,2168,94818,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,Northeast,3565287,Middle
DE,2020-04-29,4655,16883,21538,1173,144,21538,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,2020-03-16,TRUE,South,973764,Early
FL,2020-04-29,33193,340295,374740,NA,1240,373488,Florida,Republican,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,21477737,Early
GA,2020-04-29,25572,118367,143939,NA,1093,143939,Georgia,Republican,Republican,Republican,Republican,Appointed,2020-03-18,TRUE,South,10617423,Middle
HI,2020-04-29,609,29009,29618,505,16,29618,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,2020-03-23,TRUE,West,1415872,Late
IA,2020-04-29,6843,34494,41337,2428,148,41337,Iowa,Republican,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,North Central,3155070,Early
ID,2020-04-29,1952,26430,28382,1087,60,28382,Idaho,Republican,Republican,Republican,Republican,Appointed,2020-03-23,TRUE,West,1787065,Late
IL,2020-04-29,50355,206312,256667,NA,2215,256667,Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,North Central,12671821,Middle
IN,2020-04-29,17182,74368,91550,NA,1065,91550,Indiana,Republican,Republican,Republican,Republican,Appointed,2020-03-19,TRUE,North Central,6732219,Late
KS,2020-04-29,3738,25720,29458,266,125,29458,Kansas,Democrat,Republican,Republican,Republican,Republican,2020-03-18,TRUE,North Central,2913314,Middle
KY,2020-04-29,4375,48036,52411,1617,225,52411,Kentucky,Democrat,Republican,Republican,Republican,Appointed,2020-03-16,TRUE,South,4467673,Early
LA,2020-04-29,27660,128908,156568,17303,1845,156568,Louisiana,Democrat,Republican,Republican,Republican,Republican,2020-03-16,TRUE,South,4648794,Early
MA,2020-04-29,60265,205353,265618,NA,3405,265618,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-17,TRUE,Northeast,6892503,Middle
MD,2020-04-29,20849,90080,110929,1361,1078,110929,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,2020-03-16,TRUE,South,6045680,Early
ME,2020-04-29,1056,19546,20602,615,52,20602,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,2020-04-02,TRUE,Northeast,1344212,Late
MI,2020-04-29,40399,131953,172352,8342,3670,172352,Michigan,Democrat,Republican,Republican,Democrat,Appointed,2020-03-16,TRUE,North Central,9986857,Early
MN,2020-04-29,4644,62100,66744,2043,319,66744,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,2020-03-18,TRUE,North Central,5639632,Middle
