state,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,StateClosureStartDate,ClosureDateCat,Location,Governor.Political.Affiliation,State.Senate.Majority.Political.Affiliation,State.House.Majority.Political.Affiliation,State.Attorney.General.Political.Affiliation,State.Insurance.Commissioner.Political.Affiliation,closed,Region,POPESTIMATE2019,date_diff,percent_positive,positive_percent_change,percent_positive_percent_change,total_tests_percent_cange,hospitalized_percent_change,death_percent_change
SC,2020-05-02,6489,55127,NA,NA,1110,NA,NA,NA,NA,3622,308b5a0b0f04d1b13ac8a1ca3793f52f572f7fd2,2020-05-02T20:00:00Z,267,1110,61616,61616,61616,45,11,0,2006,231,2237,2020-03-16,Middle,South Carolina,Republican,Republican,Republican,Republican,Appointed,TRUE,South,5148714,47,0.10531355492079979,0.03691275167785235,-7.328887272290531e-4,0.03767325148621566,0,0.04296875
SD,2020-05-02,2588,15503,NA,71,187,NA,NA,NA,NA,1759,0e595d182f937c1905d87f011763140a96b29f9e,2020-05-02T20:00:00Z,21,187,18091,18091,18091,46,0,8,665,63,728,2020-03-16,Middle,South Dakota,Republican,Republican,Republican,Republican,Appointed,TRUE,North Central,884659,47,0.14305455751478635,0.024950495049504952,-0.016294538394455393,0.041928238207683,0.0446927374301676,0
TN,2020-05-02,12661,183615,NA,NA,1125,NA,NA,NA,NA,5718,aaf30d6bc8f1f2966b6101418ed5ea398d951410,2020-05-02T20:00:00Z,209,1125,196276,196276,196276,47,5,12,9374,770,10144,2020-03-20,Late,Tennessee,Republican,Republican,Republican,Appointed,Appointed,TRUE,South,6829174,43,0.0645061036499623,0.06475485661424607,0.009725855666302175,0.05449895772892356,0.01078167115902965,0.024509803921568627
TX,2020-05-02,30522,350126,NA,1725,NA,NA,NA,NA,NA,14891,005b7769935fc76fada195d85f1b8a1e357cd8a5,2020-05-02T20:00:00Z,847,NA,380648,380648,380648,48,31,0,27580,1293,28873,2020-03-23,Late,Texas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,28995881,40,0.08018431726949833,0.04423688802216976,-0.03497081279978784,0.08207803283348732,NA,0.03799019607843137
UT,2020-05-02,4981,112823,NA,NA,418,NA,NA,NA,NA,2185,4fe0d0aa858aa85fcc5d75bc80a12d8b8d63cca8,2020-05-02T20:00:00Z,49,418,117804,117804,117804,49,3,15,5093,153,5246,2020-03-16,Middle,Utah,Republican,Republican,Republican,Republican,Appointed,TRUE,West,3205958,47,0.04228209568435707,0.03169014084507042,-0.01425265916155761,0.04660708257076352,0.03722084367245657,0.06521739130434782
VA,2020-05-02,17731,95471,458,1426,3738,375,NA,202,NA,2312,b3cf5aa0aec79e75dd8b42d97bf8726e1fdba293,2020-05-02T20:00:00Z,616,3738,113660,113202,113202,51,35,84,6724,830,7554,2020-03-16,Middle,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,South,8535519,47,0.15600035192679923,0.049109520146736876,-0.020523439273889107,0.07109201251460666,0.022988505747126436,0.060240963855421686
VT,2020-05-02,886,15705,NA,11,NA,NA,NA,NA,NA,NA,07ffe0b903ace9914c005a3bcc7df3454a8f71bf,2020-05-02T20:00:00Z,51,NA,16591,16591,16591,50,1,0,351,7,358,2020-03-18,Late,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,623989,45,0.05340244710987885,0.007963594994311717,-0.013786209156996625,0.022053840941292428,NA,0.02
WA,2020-05-02,14637,184087,NA,428,NA,117,NA,NA,NA,NA,53591fc3887e1d07c8a4d497addae74605362cb4,2020-05-02T20:00:00Z,824,NA,198724,198724,198724,53,10,0,4433,310,4743,2020-03-17,Middle,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,7614893,46,0.07365491837925968,0.02163746771829413,-0.002746237973197384,0.024450848278955155,NA,0.012285012285012284
WI,2020-05-02,7660,75570,231,582,1591,118,400,NA,NA,3698,8788718aa6379d5902a0cce68eec28c4e316bc9b,2020-05-02T20:00:00Z,334,1591,83461,83230,83230,55,7,47,3004,346,3350,2020-03-18,Late,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,TRUE,North Central,5822434,45,0.09177939396844034,0.047306535411539515,0.0051060843057150725,0.041986067067841894,0.03044041450777202,0.021406727828746176
WV,2020-05-02,1169,47977,NA,76,NA,29,NA,15,NA,572,7598d7830fe0d88394f96b29819ef7904eed5093,2020-05-02T20:00:00Z,48,NA,49146,49146,49146,54,2,0,2269,33,2302,2020-03-16,Middle,West Virginia,Republican,Republican,Republican,Republican,Appointed,TRUE,South,1792147,47,0.02378626948276564,0.029049295774647887,-0.019151421623239424,0.04914183246520366,NA,0.043478260869565216
WY,2020-05-02,566,9463,NA,13,58,NA,NA,NA,NA,387,ff12d02f27f62db0b2e74fa659a751acd0d18849,2020-05-02T20:00:00Z,7,58,10029,10029,10029,56,0,2,327,7,334,2020-03-20,Late,Wyoming,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,578759,43,0.05643633462957424,0.012522361359570662,-0.02119808975849741,0.03445074780814853,0.03571428571428571,0
AK,2020-05-01,364,19961,NA,25,NA,NA,NA,NA,NA,254,866cdb1cdd68e3d57576eb803cc5d7cf5be70f15,2020-05-01T20:00:00Z,9,NA,20325,20325,20325,02,0,0,1197,9,1206,2020-03-16,Early,Alaska,Republican,Republican,Republican,Appointed,Appointed,TRUE,West,731545,46,0.0179089790897909,0.02535211267605634,-0.035487973236619855,0.06307861289816413,NA,0
AL,2020-05-01,7158,84775,NA,NA,1008,NA,335,NA,195,NA,db92a61950477b955b7f9bb4dd6d8ee95f8ebcd0,2020-05-01T20:00:00Z,279,1008,91933,91933,91933,01,10,30,4598,139,4737,2020-03-19,Late,Alabama,Republican,Republican,Republican,Republican,Appointed,TRUE,South,4903185,43,0.07786105098278094,0.019803390796409744,-0.032743666762216767,0.05432588650855544,0.03067484662576687,0.03717472118959108
AR,2020-05-01,3321,46355,NA,95,414,NA,NA,23,85,1973,071e6a9ca0a17eeae7497c8d9556ad40dfabc387,2020-05-01T20:00:00Z,64,414,49676,49676,49676,05,3,12,1231,66,1297,2020-03-17,Middle,Arkansas,Republican,Republican,Republican,Republican,Appointed,TRUE,South,3017804,45,0.0668532087929785,0.020276497695852536,-0.006362089643318073,0.02680915273155708,0.029850746268656716,0.04918032786885246
AZ,2020-05-01,7962,66917,NA,709,1203,311,NA,187,NA,1528,fbf09afacdcfc76ac137e1b5a6ffa9e820f9aebf,2020-05-01T20:00:00Z,330,1203,74879,74879,74879,04,10,34,2779,314,3093,2020-03-16,Early,Arizona,Republican,Republican,Republican,Republican,Appointed,TRUE,West,7278717,46,0.10633154823114625,0.041056485355648535,-0.001946063712343099,0.04308639567603711,0.0290846877673225,0.03125
CA,2020-05-01,50442,604543,NA,4706,NA,1434,NA,NA,NA,NA,47e841c9f2fad0f6e846c6bb57794423e55ff7af,2020-05-01T20:00:00Z,2073,NA,654985,654985,654985,06,91,0,28123,1525,29648,2020-03-19,Late,California,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,West,39512223,43,0.07701245066680916,0.031175256045955394,-0.015501051352556484,0.047411235861623414,NA,0.04591321897073663
CO,2020-05-01,15284,57106,NA,959,2697,NA,NA,NA,NA,2486,e3247b2fc87d89899d941713f62d23a8e20d573b,2020-05-01T20:00:00Z,777,2697,72390,72390,72390,08,11,76,805,526,1331,2020-03-23,Late,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,West,5758736,39,0.21113413454897084,0.0356416858652934,0.016599844082192654,0.018730913747730758,0.028996566196108357,0.014360313315926894
CT,2020-05-01,28764,71493,NA,1592,7758,NA,NA,NA,NA,4346,360df6002db8cb55bd24b10ada2266daf79f1ef2,2020-05-01T20:00:00Z,2339,7758,100257,100257,100257,09,82,7758,2060,1064,3124,2020-03-17,Middle,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,TRUE,Northeast,3565287,45,0.2869026601633801,0.0384115523465704,0.006054731905415164,0.032162087035302114,NA,0.03633141338059371
DE,2020-05-01,4918,17667,NA,281,NA,NA,NA,NA,NA,1403,852a8a304a110c8f3174fb155c79acc440ab6a6e,2020-05-01T20:00:00Z,159,NA,22585,22585,22585,10,7,0,581,184,765,2020-03-16,Early,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,TRUE,South,973764,46,0.21775514722160727,0.03886776510350655,0.003679194664131829,0.03505957836846929,NA,0.046052631578947366
FL,2020-05-01,34728,367971,NA,NA,5795,NA,NA,NA,NA,NA,e6d29a0b9429c1ae6d243a3cc9ad386d0d5064cc,2020-05-01T20:00:00Z,1314,5795,402699,402699,402699,12,24,0,19256,1038,20294,2020-03-16,Early,Florida,Republican,Republican,Republican,Republican,Appointed,TRUE,South,21477737,46,0.08623810836381515,0.030810329474621548,-0.018098892136064137,0.049810736407432894,0,0.018604651162790697
